range_m,depth_m,amp,db,split
650.0,1.0,0.0007103740326644245,-62.97025844674757,train
650.0,2.0,0.0014333915737548713,-56.872703057501454,validation
650.0,3.0,0.0021930214002951628,-53.179142605986684,validation
650.0,4.0,0.0030204843556035817,-50.39846818655742,train
650.0,5.0,0.003933561692390762,-48.104280682848426,train
650.0,6.0,0.004912415292591595,-46.17409850648697,train
650.0,7.0,0.005893800191425985,-44.59209182928085,train
650.0,8.0,0.00678861545303069,-43.36437583227689,train
650.0,9.0,0.00748856466219064,-42.512028316307834,validation
650.0,10.0,0.007881640987034273,-42.06766702731989,train
650.0,11.0,0.007882231403649345,-42.067016388513096,train
650.0,12.0,0.007444219425194278,-42.56361668248958,train
650.0,13.0,0.006568106985814207,-43.65119563491501,train
650.0,14.0,0.005304592280959855,-45.506959820301134,validation
650.0,15.0,0.00376672742579669,-48.48071611600588,train
650.0,16.0,0.0022111511254401884,-53.10763147405402,train
650.0,17.0,0.0015868148952517121,-55.989474630112724,train
650.0,18.0,0.002694911676367915,-51.389109278150514,train
650.0,19.0,0.004134594653560339,-47.67134122574014,train
650.0,20.0,0.005327198877884282,-45.47002179189694,train
650.0,21.0,0.006089641845079982,-44.308164982414496,validation
650.0,22.0,0.006333789428394095,-43.96672758343318,validation
650.0,23.0,0.0060307454298426195,-44.39258007209321,train
650.0,24.0,0.005204925862963657,-45.671709040782986,validation
651.0,1.0,0.0007341467957666501,-62.68434184753151,train
651.0,2.0,0.001474858256055573,-56.62499432688131,validation
651.0,3.0,0.0022420741391776015,-52.98700061177571,validation
651.0,4.0,0.0030666637276272153,-50.26667687189015,train
651.0,5.0,0.00396958772172519,-48.02509192759636,train
651.0,6.0,0.004935441280088494,-46.133480215754794,validation
651.0,7.0,0.005904491866463824,-44.57634942616181,train
651.0,8.0,0.006789569776125281,-43.36315488191388,train
651.0,9.0,0.007482995369950906,-42.51849046986884,train
651.0,10.0,0.007872651124573738,-42.07757987660766,train
651.0,11.0,0.007872487912631568,-42.07775995007846,validation
651.0,12.0,0.007435802424464936,-42.5734431663422,train
651.0,13.0,0.0065624369942070895,-43.65869706432787,validation
651.0,14.0,0.005302305061072964,-45.51070578656871,train
651.0,15.0,0.003767228849505324,-48.47955993435513,train
651.0,16.0,0.002210213926852845,-53.11131377738082,validation
651.0,17.0,0.0015708732853412105,-56.07717691914438,train
651.0,18.0,0.002671614346791622,-51.46452466006983,train
651.0,19.0,0.00410921814897531,-47.724816048545115,train
651.0,20.0,0.005300846920074673,-45.51309474635921,validation
651.0,21.0,0.006063475454805835,-44.34556752264121,train
651.0,22.0,0.006309093713473103,-44.00066043320231,train
651.0,23.0,0.006008803092998124,-44.42424054954222,train
651.0,24.0,0.0051869084362826025,-45.7018283694832,train
652.0,1.0,0.000758515822611684,-62.40070710832229,train
652.0,2.0,0.0015175482043767981,-56.377150096489366,train
652.0,3.0,0.0022928926360841328,-52.79232560970004,validation
652.0,4.0,0.0031148386912418567,-50.131288786308126,train
652.0,5.0,0.00400739449071606,-47.94275806420757,train
652.0,6.0,0.00495969061400733,-46.090908279954704,train
652.0,7.0,0.005915729335022444,-44.55983409375739,train
652.0,8.0,0.006790446747248698,-43.36203304610591,train
652.0,9.0,0.007476865243388787,-42.525608932686424,validation
652.0,10.0,0.007862776930834755,-42.08848090428064,validation
652.0,11.0,0.007861677986445263,-42.08969497621525,train
652.0,12.0,0.00742625811238475,-42.58459920390383,train
652.0,13.0,0.0065556663839791375,-43.66766311326786,train
652.0,14.0,0.005299012048839275,-45.51610185980414,train
652.0,15.0,0.0037668865034866912,-48.48034929836102,validation
652.0,16.0,0.002208746161114361,-53.11708384610018,validation
652.0,17.0,0.0015550317254645935,-56.16521492304953,train
652.0,18.0,0.002648646241521788,-51.53952086134477,train
652.0,19.0,0.004084138604972075,-47.7779905503456,train
652.0,20.0,0.0052747126276424085,-45.55602392488532,train
652.0,21.0,0.006037450061742798,-44.382928969112506,validation
652.0,22.0,0.006284476789028225,-44.03461746885725,train
652.0,23.0,0.005986896455150254,-44.45596506038928,validation
652.0,24.0,0.005168899861799008,-45.73203762861128,train
653.0,1.0,0.0007834119676177604,-62.12019596669858,validation
653.0,2.0,0.001561337948070279,-56.13006169407466,validation
653.0,3.0,0.002345336327094839,-52.59589739136295,train
653.0,4.0,0.0031648918531941143,-49.992822511437936,validation
653.0,5.0,0.004046911245121462,-47.85752640476403,train
653.0,6.0,0.004985133729730493,-46.04646373880169,validation
653.0,7.0,0.005927503531565421,-44.54256357200124,train
653.0,8.0,0.006791246703227682,-43.361009855679455,validation
653.0,9.0,0.007470177681827489,-42.53338136310437,train
653.0,10.0,0.007852022246566713,-42.10036957230288,validation
653.0,11.0,0.007849807831859706,-42.10281949843116,train
653.0,12.0,0.007415589910352983,-42.59708590250107,train
653.0,13.0,0.00654779854772464,-43.678093814760295,train
653.0,14.0,0.005294718513842199,-45.52314247178931,train
653.0,15.0,0.003765704561295731,-48.48307511194235,train
653.0,16.0,0.002206748445620731,-53.124943412937114,validation
653.0,17.0,0.0015392896625197562,-56.25359294454221,validation
653.0,18.0,0.002626016030978274,-51.61405254022284,train
653.0,19.0,0.00405936270379262,-47.830842855308504,train
653.0,20.0,0.005248800993123843,-45.59879786156077,train
653.0,21.0,0.00601157177626691,-44.42023926372505,validation
653.0,22.0,0.0062599439491958,-44.0685911078807,train
653.0,23.0,0.005965027857527426,-44.487750475439626,train
653.0,24.0,0.005150902315528177,-45.762333724692255,train
654.0,1.0,0.000808774502350484,-61.84345097779307,train
654.0,2.0,0.0016061151459910458,-55.88446644794732,train
654.0,3.0,0.0023992710974644785,-52.39841355268146,validation
654.0,4.0,0.003216709752076649,-49.85176248577342,validation
654.0,5.0,0.004088066628790233,-47.76964069053867,train
654.0,6.0,0.0050117377680040575,-46.00023321839504,validation
654.0,7.0,0.0059398057453503815,-44.52455515795832,train
654.0,8.0,0.006791968761476609,-43.36008640448564,validation
654.0,9.0,0.007462936446289974,-42.54180513554893,validation
654.0,10.0,0.007840389293513746,-42.11324746103705,validation
654.0,11.0,0.007836879841437123,-42.11713623958316,train
654.0,12.0,0.007403800014322029,-42.61090641169815,train
654.0,13.0,0.0065388378931959855,-43.68998858525163,train
654.0,14.0,0.0052894273084806475,-45.53182693823998,validation
654.0,15.0,0.0037636856320841764,-48.48773317754621,train
654.0,16.0,0.002204221138061221,-53.134896742484756,train
654.0,17.0,0.00152364926802967,-56.34229985270441,validation
654.0,18.0,0.002603731505928187,-51.688076035761426,train
654.0,19.0,0.004034894948079967,-47.88335536041493,train
654.0,20.0,0.0052231166538998595,-45.64140548908341,train
654.0,21.0,0.005985840415876955,-44.45749731499471,train
654.0,22.0,0.006235496220514259,-44.10257959348921,train
654.0,23.0,0.005943201019318541,-44.519591603469955,validation
654.0,24.0,0.0051329167302400945,-45.79271562220953,train
655.0,1.0,0.0008345472401259771,-61.57098149496466,validation
655.0,2.0,0.0016517763560622064,-55.64097509555637,train
655.0,3.0,0.0024545699152916005,-52.20049186127693,train
655.0,4.0,0.003270180694710892,-49.70856499237386,train
655.0,5.0,0.004130790524798489,-47.67933655668105,validation
655.0,6.0,0.005039470124158155,-45.95230250224781,validation
655.0,7.0,0.005952623227913585,-44.50583210611746,train
655.0,8.0,0.006792613537732784,-43.359261873368936,train
655.0,9.0,0.007455143081528534,-42.55088034020364,train
655.0,10.0,0.007827882159448902,-42.12711441624981,train
655.0,11.0,0.00782289675487678,-42.13264802906438,validation
655.0,12.0,0.007390893094161418,-42.626061590883225,train
655.0,13.0,0.006528787140724861,-43.70334981098801,validation
655.0,14.0,0.005283142813444745,-45.54215298689462,train
655.0,15.0,0.003760835161335508,-48.49431402866047,validation
655.0,16.0,0.0022011648334366446,-53.14694868485721,validation
655.0,17.0,0.0015081126918081874,-56.43132410298719,validation
655.0,18.0,0.0025817995044773723,-51.761549737751416,validation
655.0,19.0,0.004010742124331896,-47.9355052125236,validation
655.0,20.0,0.005197662658265842,-45.68383821508356,validation
655.0,21.0,0.005960262013619293,-44.49469296436348,validation
655.0,22.0,0.006211138757195885,-44.13657536964906,train
655.0,23.0,0.005921416989237067,-44.55148709199594,train
655.0,24.0,0.0051149458816175854,-45.8231791390919,train
656.0,1.0,0.0008606804047308484,-61.303161691683385,train
656.0,2.0,0.0016982264703145678,-55.40008788078724,train
656.0,3.0,0.002511115066059858,-52.00266772575035,train
656.0,4.0,0.0033251967034831466,-49.56365317437236,validation
656.0,5.0,0.004175012239035639,-47.58684494091129,train
656.0,6.0,0.005068296947713444,-45.90275896110984,train
656.0,7.0,0.0059659486268399484,-44.486409813900806,train
656.0,8.0,0.0067931806768197715,-43.35853668830517,train
656.0,9.0,0.007446801141753351,-42.56060486671339,validation
656.0,10.0,0.00781450537803089,-42.141970112051254,train
656.0,11.0,0.007807863696338942,-42.149355537064366,train
656.0,12.0,0.007376873798005738,-42.64255292592131,validation
656.0,13.0,0.006517650749872044,-43.71817830075944,train
656.0,14.0,0.005275868618957158,-45.554120558087234,train
656.0,15.0,0.003757155585219334,-48.502816405343125,train
656.0,16.0,0.0021975804750693872,-53.16110424327604,train
656.0,17.0,0.0014926820655746008,-56.5206537031072,train
656.0,18.0,0.0025602284158594267,-51.834425730309526,train
656.0,19.0,0.003986910125863149,-47.98727108450295,train
656.0,20.0,0.005172444490186015,-45.72608322826732,train
656.0,21.0,0.005934840002695919,-44.53181969386062,validation
656.0,22.0,0.006186872119919014,-44.170577211481294,train
656.0,23.0,0.005899679681881313,-44.583431347387034,train
656.0,24.0,0.005096992718308168,-45.853719737097094,validation
657.0,1.0,0.0008871287408731659,-61.04026700824356,train
657.0,2.0,0.0017453789218667352,-55.16220546222083,train
657.0,3.0,0.002568793744426891,-51.80541530084128,validation
657.0,4.0,0.003381654160046164,-49.41741619061156,train
657.0,5.0,0.004220660008209812,-47.49239261341687,train
657.0,6.0,0.005098186610568488,-45.85168543909688,train
657.0,7.0,0.005979771881021612,-44.46630766706525,validation
657.0,8.0,0.00679367020859127,-43.35791078625042,train
657.0,9.0,0.007437914335284865,-42.570976556990026,train
657.0,10.0,0.007800261756638096,-42.15781646527729,train
657.0,11.0,0.007791783601318164,-42.16726234963822,train
657.0,12.0,0.007361744810205568,-42.66038482292808,train
657.0,13.0,0.006505434194082531,-43.73447423784759,validation
657.0,14.0,0.005267610968457183,-45.567726133928346,train
657.0,15.0,0.003752652118979533,-48.513233879925004,train
657.0,16.0,0.002193470060745255,-53.1773657803835,train
657.0,17.0,0.001477358708288808,-56.610280870791286,train
657.0,18.0,0.0025390241452567627,-51.906663382274154,train
657.0,19.0,0.003963402800326293,-48.038635762150655,train
657.0,20.0,0.005147466274031557,-45.768129803572,train
657.0,21.0,0.005909576535196175,-44.56887276821795,validation
657.0,22.0,0.006162701543500587,-44.204577288415535,train
657.0,23.0,0.005877990093876755,-44.61542300350659,validation
657.0,24.0,0.005079056441779306,-45.88433921963556,train
658.0,1.0,0.0009138515398249795,-60.78248704094052,validation
658.0,2.0,0.0017931540034415467,-54.927648196791054,train
658.0,3.0,0.0026275027222628566,-51.60913650684598,train
658.0,4.0,0.003439452130830754,-49.27021461081602,validation
658.0,5.0,0.004267665369303439,-47.39619282507548,validation
658.0,6.0,0.005129101391193258,-45.79917431581685,train
658.0,7.0,0.005994079556943556,-44.44554994281485,train
658.0,8.0,0.006794081926328312,-43.35738441002695,validation
658.0,9.0,0.007428486008985474,-42.581993805387924,validation
658.0,10.0,0.007785154962678542,-42.17465476849039,train
658.0,11.0,0.007774661449284445,-42.18637026829598,train
658.0,12.0,0.007345510924968366,-42.67955982000061,train
658.0,13.0,0.00649213955199166,-43.752243067093175,train
658.0,14.0,0.005258371816068571,-45.58297416924227,train
658.0,15.0,0.00374732819342698,-48.525565388977505,train
658.0,16.0,0.0021888345771996897,-53.19574118640337,validation
658.0,17.0,0.0014621475420881272,-56.70017602934575,train
658.0,18.0,0.002518195827950541,-51.97820999853143,train
658.0,19.0,0.003940224957970417,-48.08957964868527,train
658.0,20.0,0.0051227307976045005,-45.80996931888447,train
658.0,21.0,0.005884475132003317,-44.60584536308997,train
658.0,22.0,0.0061386276129515764,-44.238574227802225,train
658.0,23.0,0.005856350966238045,-44.647458085259885,train
658.0,24.0,0.005061141801005262,-45.915029892704325,validation
659.0,1.0,0.0009408118453188253,-60.52994446472488,validation
659.0,2.0,0.0018414794596999739,-54.69666242012064,train
659.0,3.0,0.0026871432458830235,-51.414183632718405,train
659.0,4.0,0.0034984953609462142,-49.12237395264033,validation
659.0,5.0,0.00431595883046959,-47.298454133281865,validation
659.0,6.0,0.005161008771352182,-45.74530805655247,train
659.0,7.0,0.006008861766922232,-44.42415573519011,train
659.0,8.0,0.0067944153645594745,-43.35695813659648,validation
659.0,9.0,0.007418519285831606,-42.5936553989083,train
659.0,10.0,0.0077691910922138676,-42.192483928938444,train
659.0,11.0,0.007756500998020586,-42.206682945840896,train
659.0,12.0,0.007328175609490415,-42.700082639099854,train
659.0,13.0,0.006477773052085799,-43.771485430170294,train
659.0,14.0,0.005248157542334879,-45.59986273049944,train
659.0,15.0,0.0037411891298434834,-48.53980672365325,train
659.0,16.0,0.002183676939235666,-53.21623224503513,train
659.0,17.0,0.0014470508853975663,-56.79032393382093,validation
659.0,18.0,0.002497749745383185,-52.04902153255726,validation
659.0,19.0,0.003917381884332442,-48.140081787454115,train
659.0,20.0,0.005098240904510037,-45.85159293783924,train
659.0,21.0,0.005859538740416022,-44.642731401059606,train
659.0,22.0,0.00611465349757785,-44.27256296667856,validation
659.0,23.0,0.005834763974114729,-44.67953414391558,train
659.0,24.0,0.0050432480224322975,-45.945793462020454,validation
660.0,1.0,0.0009679762072421053,-60.282706349502675,train
660.0,2.0,0.001890288078816285,-54.46944009107103,validation
660.0,3.0,0.0027476248539417165,-51.22085127639015,train
660.0,4.0,0.003558689834908156,-48.97419724390093,train
660.0,5.0,0.004365472111110422,-47.199375638651546,validation
660.0,6.0,0.005193872180371488,-45.69017484862948,train
660.0,7.0,0.0060241075356939145,-44.40214568388406,train
660.0,8.0,0.00679467129908748,-43.35663095948441,validation
660.0,9.0,0.007408017497979289,-42.60596001014319,validation
660.0,10.0,0.007752372933802675,-42.2113068677607,validation
660.0,11.0,0.007737306919978955,-42.22820350808647,train
660.0,12.0,0.007309744916885865,-42.72195556103924,train
660.0,13.0,0.006462338598287013,-43.79220581180501,validation
660.0,14.0,0.005236973009611295,-45.618393287321,train
660.0,15.0,0.0037342395622475062,-48.55595648497051,train
660.0,16.0,0.0021779989656531425,-53.23884661659329,train
660.0,17.0,0.0014320719696165412,-56.88070311511744,validation
660.0,18.0,0.0024776930926039436,-52.11904979812813,validation
660.0,19.0,0.003894878278845801,-48.19012220348233,train
660.0,20.0,0.0050740003348097905,-45.8929901691441,train
660.0,21.0,0.005834769606927991,-44.67952575866282,train
660.0,22.0,0.006090780658011344,-44.30654080173169,train
660.0,23.0,0.0058132322310075445,-44.71164654403573,train
660.0,24.0,0.005025377526106489,-45.97662613547841,train
661.0,1.0,0.0009953143237417567,-60.040794917562145,train
661.0,2.0,0.0019395189850156525,-54.24611929887909,validation
661.0,3.0,0.0028088632097522923,-51.02938820419404,validation
661.0,4.0,0.0036199485201806195,-48.825952111770164,train
661.0,5.0,0.004416138375935543,-47.0991465363575,train
661.0,6.0,0.005227656607572396,-45.63385895868694,train
661.0,7.0,0.006039804565926336,-44.37954227828249,train
661.0,8.0,0.006794848220537784,-43.3564047969347,train
661.0,9.0,0.007396984290627266,-42.618906072632484,train
661.0,10.0,0.007734705964940949,-42.23112382734869,train
661.0,11.0,0.007717083702769043,-42.25093578364011,validation
661.0,12.0,0.0072902229452306315,-42.7451838029055,validation
661.0,13.0,0.006445841495300848,-43.81440756183689,train
661.0,14.0,0.005224823350350058,-45.63856776659689,train
661.0,15.0,0.003726484051715312,-48.574014661715566,validation
661.0,16.0,0.002171803251169368,-53.2635904214591,train
661.0,17.0,0.0014172163137845697,-56.97127714165387,train
661.0,18.0,0.002458032846457047,-52.188246359506074,train
661.0,19.0,0.003872717511625974,-48.23968361368078,train
661.0,20.0,0.005050012816863762,-45.934150392929176,train
661.0,21.0,0.005810170955514174,-44.71622177923582,train
661.0,22.0,0.006067012284970755,-44.34050251321857,train
661.0,23.0,0.005791756182105153,-44.74379458191954,train
661.0,24.0,0.005007532502561617,-46.007524462705305,train
662.0,1.0,0.0010227985603186915,-59.80419783907924,train
662.0,2.0,0.001989115946035861,-54.02679802020661,train
662.0,3.0,0.0028707767337211787,-50.84001164350986,train
662.0,4.0,0.0036821856369352855,-48.677886407545316,validation
662.0,5.0,0.004467892499575338,-46.99794569681741,validation
662.0,6.0,0.005262325317282126,-45.57644614616433,train
662.0,7.0,0.006055940243107413,-44.3563683776126,train
662.0,8.0,0.006794947130876886,-43.35627836025669,train
662.0,9.0,0.0073854246169501704,-42.63249060691311,train
662.0,10.0,0.007716193115990005,-42.251938232902866,train
662.0,11.0,0.007695835994709713,-42.27488392166974,validation
662.0,12.0,0.007269614214173528,-42.7697727156974,train
662.0,13.0,0.006428285851280384,-43.83809638778966,train
662.0,14.0,0.005211712363638674,-45.66039122347001,train
662.0,15.0,0.0037179278389451657,-48.593980873595754,validation
662.0,16.0,0.002165093226423292,-53.29046797374568,train
662.0,17.0,0.0014024866674703705,-57.0620251721536,validation
662.0,18.0,0.0024387756494094223,-52.25656299909645,train
662.0,19.0,0.003850903092011809,-48.288748205234675,validation
662.0,20.0,0.005026279123955077,-45.97506794866317,train
662.0,21.0,0.005785742903836693,-44.752817372716045,train
662.0,22.0,0.0060433494462636475,-44.37444585391476,validation
662.0,23.0,0.005770336461182468,-44.77597725863682,train
662.0,24.0,0.004989712418780498,-46.0384896828661,train
663.0,1.0,0.001050403762033464,-59.57287462969964,train
663.0,2.0,0.002039027551688322,-53.81153811842087,train
663.0,3.0,0.002933293785279654,-50.652888757871246,train
663.0,4.0,0.003745320741884571,-48.53021968497319,train
663.0,5.0,0.004520668829233104,-46.89594613847635,train
663.0,6.0,0.0052978439042391115,-45.51801683820233,train
663.0,7.0,0.006072502404243848,-44.33264609151179,train
663.0,8.0,0.006794967363451406,-43.35625249726697,train
663.0,9.0,0.0073733416087398045,-42.64671289320112,train
663.0,10.0,0.00769684194538967,-42.27374863167876,train
663.0,11.0,0.007673568135261699,-42.30005292670627,train
663.0,12.0,0.007247923786197595,-42.795727640531744,train
663.0,13.0,0.006409678381230261,-43.86327523103149,validation
663.0,14.0,0.005197646402313688,-45.68386538068403,train
663.0,15.0,0.003708576224493082,-48.615855805140114,train
663.0,16.0,0.0021578721684606997,-53.31948572667188,validation
663.0,17.0,0.0013878901603478553,-57.15289806440143,train
663.0,18.0,0.0024199285730143604,-52.32394905066839,train
663.0,19.0,0.0038294395431970408,-48.337295649126865,validation
663.0,20.0,0.005002803497211673,-46.015731104645006,train
663.0,21.0,0.005761488688103376,-44.789305729124834,train
663.0,22.0,0.006019793242595097,-44.40836849757461,train
663.0,23.0,0.0057489774420300364,-44.80818790890724,train
663.0,24.0,0.004971920475600547,-46.06951652773603,train
664.0,1.0,0.0010781068263344157,-59.34676408189176,validation
664.0,2.0,0.002089206309066001,-53.60037342667587,train
664.0,3.0,0.0029963436436889366,-50.468167597826735,validation
664.0,4.0,0.0038092771455091883,-48.38314857835526,train
664.0,5.0,0.004574405946696334,-46.79330594811748,train
664.0,6.0,0.005334176121258753,-45.45865298166647,train
664.0,7.0,0.006089479291482878,-44.30839684193687,validation
664.0,8.0,0.0067949086976076345,-43.35632748912742,validation
664.0,9.0,0.007360738982980003,-42.661571647707454,validation
664.0,10.0,0.007676654360591165,-42.29656025902951,validation
664.0,11.0,0.0076502855071954,-42.32644713513481,train
664.0,12.0,0.00722515558912484,-42.82305592431189,validation
664.0,13.0,0.006390023255639499,-43.889951225634725,validation
664.0,14.0,0.005182630374081049,-45.70899527997657,train
664.0,15.0,0.003698434483858685,-48.63964140459588,train
664.0,16.0,0.002150143468713116,-53.35065121478891,train
664.0,17.0,0.00137343042979821,-57.24386669166799,validation
664.0,18.0,0.002401497874327961,-52.39035586876226,train
664.0,19.0,0.003808329494398883,-48.38530967524331,train
664.0,20.0,0.004979586839625583,-46.056133790245035,validation
664.0,21.0,0.00573740954694134,-44.82568296529898,validation
664.0,22.0,0.005996346003398865,-44.44226630556332,train
664.0,23.0,0.005727676776971665,-44.84042996043674,validation
664.0,24.0,0.00495415617715813,-46.1006061326021,train
665.0,1.0,0.001105886557713168,-59.12578841697418,train
665.0,2.0,0.0021396086330325538,-53.39331316907531,train
665.0,3.0,0.0030598619099367333,-50.28596345145147,train
665.0,4.0,0.0038739827063477158,-48.23684644649677,validation
665.0,5.0,0.004629042500286417,-46.69017663685993,train
665.0,6.0,0.0053712863530009074,-45.39843387964271,train
665.0,7.0,0.006106857141295552,-44.28364478813808,validation
665.0,8.0,0.006794770673102955,-43.35650392678755,validation
665.0,9.0,0.007347620917993311,-42.677065162377765,train
665.0,10.0,0.007655639538952708,-42.320370464731795,train
665.0,11.0,0.007625993708852641,-42.35407114676417,train
665.0,12.0,0.007201316943285707,-42.85176149109184,train
665.0,13.0,0.006369325979027159,-43.918130471274424,train
665.0,14.0,0.00516667145715374,-45.73578307751205,validation
665.0,15.0,0.003687508894873812,-48.665338468465684,train
665.0,16.0,0.0021419108744481206,-53.383972085028795,validation
665.0,17.0,0.0013591145948040732,-57.334878476933696,train
665.0,18.0,0.002383489329623501,-52.4557357595385,validation
665.0,19.0,0.0037875762823347705,-48.4327722329561,validation
665.0,20.0,0.0049566312240977555,-46.096267832496736,validation
665.0,21.0,0.005713507209050513,-44.86194440618944,train
665.0,22.0,0.005973008774704284,-44.47613694496195,validation
665.0,23.0,0.005706438462285343,-44.87269723529916,train
665.0,24.0,0.004936420554880417,-46.13175695970885,train
666.0,1.0,0.0011337238488943096,-58.909854349894,train
666.0,2.0,0.002190192974559447,-53.19035236900476,validation
666.0,3.0,0.0031237873583574876,-50.10637073939716,train
666.0,4.0,0.003939366648003073,-48.091471925862535,train
666.0,5.0,0.004684517506983907,-46.586702673305574,validation
666.0,6.0,0.005409138499788969,-45.33743796803789,validation
666.0,7.0,0.0061246229301863105,-44.25841288010221,train
666.0,8.0,0.006794553218839428,-43.35678190731837,validation
666.0,9.0,0.007333992988870489,-42.69319019101613,train
666.0,10.0,0.007633797902779421,-42.345186834999346,train
666.0,11.0,0.007600697700942389,-42.38293080237975,train
666.0,12.0,0.0071764127238654885,-42.881851849271,validation
666.0,13.0,0.006347592249119969,-43.94781957673303,validation
666.0,14.0,0.005149774161482615,-45.764236322370294,train
666.0,15.0,0.003675804563491314,-48.69295174796896,train
666.0,16.0,0.0021331796752090478,-53.41945125795505,validation
666.0,17.0,0.0013449489376398784,-57.425884075643324,train
666.0,18.0,0.002365909858164241,-52.52003612271313,train
666.0,19.0,0.0037671825650824114,-48.479666650425514,train
666.0,20.0,0.004933938709282015,-46.136124994720305,train
666.0,21.0,0.005689782750186241,-44.89808631426571,train
666.0,22.0,0.0059497823098775045,-44.50997847819703,train
666.0,23.0,0.005685261962837966,-44.90499038594936,train
